customer_id,customer_segment,country,churn_probability,recency_days,frequency,monetary,risk_reason
13194,New Customers,United Kingdom,0.8986312095509501,136,1,60.7,has not purchased for 136 days; only 1 order(s) on record; below-median spend; short customer tenure
13391,At Risk / Hibernating,United Kingdom,0.8986312095509501,204,1,59.8,has not purchased for 204 days; only 1 order(s) on record; below-median spend; short customer tenure
17174,At Risk / Hibernating,United Kingdom,0.8986312095509501,188,1,59.9,has not purchased for 188 days; only 1 order(s) on record; below-median spend; short customer tenure
14957,At Risk / Hibernating,United Kingdom,0.8980756539953946,254,1,58.49,has not purchased for 254 days; only 1 order(s) on record; below-median spend; short customer tenure
13682,At Risk / Hibernating,United Kingdom,0.8980756539953946,218,1,59.5,has not purchased for 218 days; only 1 order(s) on record; below-median spend; short customer tenure
13080,At Risk / Hibernating,United Kingdom,0.8980756539953946,180,1,58.08,has not purchased for 180 days; only 1 order(s) on record; below-median spend; short customer tenure
13366,New Customers,United Kingdom,0.8974506539953946,51,1,56.160000000000004,only 1 order(s) on record; below-median spend; short customer tenure
15899,At Risk / Hibernating,United Kingdom,0.8974506539953946,546,1,56.25,has not purchased for 546 days; only 1 order(s) on record; below-median spend
17775,At Risk / Hibernating,United Kingdom,0.8974506539953946,255,1,56.4,has not purchased for 255 days; only 1 order(s) on record; below-median spend; short customer tenure
13302,At Risk / Hibernating,United Kingdom,0.8967012644960048,156,1,63.75,has not purchased for 156 days; only 1 order(s) on record; below-median spend; short customer tenure
13218,At Risk / Hibernating,United Kingdom,0.8967012644960048,246,1,62.63999999999999,has not purchased for 246 days; only 1 order(s) on record; below-median spend; short customer tenure
17263,At Risk / Hibernating,United Kingdom,0.8967012644960048,209,1,63.44,has not purchased for 209 days; only 1 order(s) on record; below-median spend; short customer tenure
14840,At Risk / Hibernating,United Kingdom,0.8967012644960048,268,1,62.85,has not purchased for 268 days; only 1 order(s) on record; below-median spend
13130,At Risk / Hibernating,United Kingdom,0.8967012644960048,184,1,64.0,has not purchased for 184 days; only 1 order(s) on record; below-median spend; short customer tenure
17382,At Risk / Hibernating,United Kingdom,0.8967012644960048,214,1,65.4,has not purchased for 214 days; only 1 order(s) on record; below-median spend; short customer tenure
