InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
543554,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,9,2022-12-29 12:43:00,3.96,13811.0,United Kingdom
543287,22752,SET 7 BABUSHKA NESTING BOXES,21,2022-12-29 12:58:00,7.4,13678.0,United Kingdom
543396,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2022-12-29 12:58:00,2.71,13732.0,Belgium
543554,21034,REX CASH+CARRY JUMBO SHOPPER,19,2022-12-29 13:22:00,1.34,13811.0,United Kingdom
543554,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,20,2022-12-29 13:30:00,2.98,13811.0,United Kingdom
543287,22632,HAND WARMER RED POLKA DOT,13,2022-12-29 14:33:00,1.93,13678.0,United Kingdom
543396,84406B,CREAM CUPID HEARTS COAT HANGER,15,2022-12-29 14:42:00,2.83,13732.0,Belgium
543396,22748,POPPY'S PLAYHOUSE KITCHEN,16,2022-12-29 15:01:00,2.23,13732.0,Belgium
543554,22622,BOX OF VINTAGE ALPHABET BLOCKS,10,2022-12-29 16:39:00,10.31,13811.0,United Kingdom
543287,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,2022-12-29 17:00:00,3.49,13678.0,United Kingdom
543554,20727,LUNCH BAG BLACK SKULL,12,2022-12-29 17:29:00,1.57,13811.0,United Kingdom
543287,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2022-12-29 17:56:00,1.72,13678.0,United Kingdom
543554,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2022-12-29 18:38:00,3.64,13811.0,United Kingdom
543554,22622,BOX OF VINTAGE ALPHABET BLOCKS,23,2022-12-29 19:50:00,10.12,13811.0,United Kingdom
543594,84406B,CREAM CUPID HEARTS COAT HANGER,22,2022-12-30 08:57:00,2.71,13833.0,Spain
543161,47566,PARTY BUNTING,24,2022-12-30 09:37:00,5.08,13622.0,United Kingdom
543594,84406B,CREAM CUPID HEARTS COAT HANGER,13,2022-12-30 09:42:00,2.8,13833.0,Spain
543594,22622,BOX OF VINTAGE ALPHABET BLOCKS,10,2022-12-30 09:45:00,9.98,13833.0,Spain
543315,21730,GLASS STAR FROSTED T-LIGHT HOLDER,10,2022-12-30 10:24:00,4.1,13692.0,United Kingdom
543594,23203,JUMBO BAG VINTAGE DOILY,22,2022-12-30 10:28:00,4.4,13833.0,Spain
543161,22752,SET 7 BABUSHKA NESTING BOXES,18,2022-12-30 10:43:00,7.68,13622.0,United Kingdom
543732,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,2022-12-30 11:57:00,3.01,13905.0,Italy
543315,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,11,2022-12-30 16:09:00,2.82,13692.0,United Kingdom
543315,22752,SET 7 BABUSHKA NESTING BOXES,19,2022-12-30 16:41:00,7.52,13692.0,United Kingdom
543315,22633,HAND WARMER UNION JACK,6,2022-12-30 16:59:00,1.78,13692.0,United Kingdom
543133,23355,HOT WATER BOTTLE KEEP CALM,21,2022-12-30 17:01:00,5.3,13608.0,United Kingdom
543315,71053,WHITE METAL LANTERN,13,2022-12-30 17:34:00,3.43,13692.0,United Kingdom
543315,23298,SPACEBOY LUNCH BOX,23,2022-12-30 18:03:00,2.02,13692.0,United Kingdom
543315,21212,PACK OF 72 RETROSPOT CAKE CASES,8,2022-12-30 19:14:00,0.57,13692.0,United Kingdom
543599,23203,JUMBO BAG VINTAGE DOILY,8,2022-12-31 09:10:00,4.01,13836.0,United Kingdom
543599,71053,WHITE METAL LANTERN,8,2022-12-31 09:28:00,3.29,13836.0,United Kingdom
543599,71053,WHITE METAL LANTERN,5,2022-12-31 09:49:00,3.66,13836.0,United Kingdom
543599,71053,WHITE METAL LANTERN,19,2022-12-31 10:02:00,3.36,13836.0,United Kingdom
543082,20727,LUNCH BAG BLACK SKULL,21,2022-12-31 10:23:00,1.72,13584.0,Sweden
543599,22633,HAND WARMER UNION JACK,2,2022-12-31 10:45:00,1.86,13836.0,United Kingdom
543523,84879,ASSORTED COLOUR BIRD ORNAMENT,21,2022-12-31 11:39:00,1.75,13798.0,Australia
543493,22633,HAND WARMER UNION JACK,11,2022-12-31 11:42:00,1.92,13784.0,United Kingdom
543523,22748,POPPY'S PLAYHOUSE KITCHEN,5,2022-12-31 11:54:00,2.02,13798.0,Australia
543523,21034,REX CASH+CARRY JUMBO SHOPPER,15,2022-12-31 12:09:00,1.27,13798.0,Australia
543523,20725,LUNCH BAG RED RETROSPOT,20,2022-12-31 12:12:00,1.66,13798.0,Australia
543339,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,10,2022-12-31 12:52:00,3.4,13704.0,United Kingdom
543523,23298,SPACEBOY LUNCH BOX,21,2022-12-31 13:36:00,2.04,13798.0,Australia
543599,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2022-12-31 13:48:00,2.64,13836.0,United Kingdom
543339,23203,JUMBO BAG VINTAGE DOILY,21,2022-12-31 14:19:00,4.12,13704.0,United Kingdom
543339,22632,HAND WARMER RED POLKA DOT,14,2022-12-31 14:25:00,1.9,13704.0,United Kingdom
543190,20725,LUNCH BAG RED RETROSPOT,21,2022-12-31 14:46:00,1.72,13637.0,United Kingdom
543599,20727,LUNCH BAG BLACK SKULL,13,2022-12-31 16:26:00,1.58,13836.0,United Kingdom
543050,84879,ASSORTED COLOUR BIRD ORNAMENT,11,2022-12-31 17:18:00,1.7,13567.0,United Kingdom
543599,21212,PACK OF 72 RETROSPOT CAKE CASES,14,2022-12-31 17:33:00,0.53,13836.0,United Kingdom
543082,84406B,CREAM CUPID HEARTS COAT HANGER,22,2022-12-31 18:02:00,2.7,13584.0,Sweden
543050,22745,POPPY'S PLAYHOUSE BEDROOM,2,2022-12-31 18:02:00,2.08,13567.0,United Kingdom
543523,84029E,RED WOOLLY HOTTIE WHITE HEART,18,2022-12-31 18:51:00,3.46,13798.0,Australia
543826,22633,HAND WARMER UNION JACK,10,2022-12-31 19:00:00,1.8,13954.0,United Kingdom
543050,21929,JUMBO BAG PINK VINTAGE PAISLEY,17,2022-12-31 19:11:00,2.03,13567.0,United Kingdom
543092,22748,POPPY'S PLAYHOUSE KITCHEN,4,2023-01-01 09:03:00,2.14,13590.0,Belgium
543282,22633,HAND WARMER UNION JACK,6,2023-01-01 09:05:00,1.8,13677.0,Netherlands
543092,22748,POPPY'S PLAYHOUSE KITCHEN,20,2023-01-01 10:54:00,2.07,13590.0,Belgium
